"Actions","Actions"
"Answer Title","Answer Title"
"Answer Title:","Answer Title:"
"Answer was successfully saved","Answer was successfully saved"
"Answer with the same title in this poll","Answer with the same title in this poll"
"Are you sure you want to delete it?","Are you sure you want to delete it?"
"Assigned Answers","Assigned Answers"
"Closed","Closed"
"Community Poll","Community Poll"
"Date Closed","Date Closed"
"Date Posted","Date Posted"
"Delete","Delete"
"Delete Answer","Delete Answer"
"Delete Poll","Delete Poll"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","Edit Answer '%s'"
"Edit Poll '%s'","Edit Poll '%s'"
"Edit Poll Answer","Edit Poll Answer"
"ID","ID"
"Invalid Answer","Invalid Answer"
"Poll Manager","Küsitluste haldus"
"Add New Poll","Lisa uus küsitlus"
"Add New Answer","Lisa uus vastus"
"Add Answer","Lisa vastus"
"New Poll","New Poll"
"Number of Responses","Number of Responses"
"Open","Open"
"Poll Answers","Poll Answers"
"Poll information","Poll information"
"Poll Information","Poll Information"
"Poll not exists","Poll not exists"
"Poll Question","Poll Question"
"Poll with the same question","Poll with the same question"
"Save Answer","Save Answer"
"Save Poll","Save Poll"
"Status","Status"
"Unable to find answer to delete.","Unable to find answer to delete."
"Visible In","Visible In"
"Vote","Vote"
"Votes Count","Votes Count"
"Votes Count:","Votes Count:"
